strain	date	country	genotype	accession	extra
DENV2/THAILAND/2006/00127/06	2006-01-01	THAILAND	DENV2	00127	06
DENV2/THAILAND/2000/01559/00	2000-01-01	THAILAND	DENV2	01559	00
DENV2/THAILAND/1999/04539/99	1999-01-01	THAILAND	DENV2	04539	99
DENV2/THAILAND/1998/06895/98	1998-01-01	THAILAND	DENV2	06895	98
DENV2/THAILAND/1998/04334/98	1998-01-01	THAILAND	DENV2	04334	98
DENV2/THAILAND/1997/05157/97	1997-01-01	THAILAND	DENV2	05157	97
DENV2/THAILAND/1997/04952/97	1997-01-01	THAILAND	DENV2	04952	97
DENV2/THAILAND/2002/03090/02	2002-01-01	THAILAND	DENV2	03090	02
DENV2/THAILAND/1998/04648/98	1998-01-01	THAILAND	DENV2	04648	98
DENV2/THAILAND/1998/06341/98	1998-01-01	THAILAND	DENV2	06341	98
DENV2/THAILAND/1998/06771/98	1998-01-01	THAILAND	DENV2	06771	98
DENV2/THAILAND/1995/00436/95	1995-01-01	THAILAND	DENV2	00436	95
DENV2/THAILAND/1994/01488/94	1994-01-01	THAILAND	DENV2	01488	94
DENV2/THAILAND/1996/00788/96	1996-01-01	THAILAND	DENV2	00788	96
DENV2/THAILAND/1994/01536/94	1994-01-01	THAILAND	DENV2	01536	94
DENV2/THAILAND/1996/00024/96	1996-01-01	THAILAND	DENV2	00024	96
DENV2/THAILAND/1996/01175/96	1996-01-01	THAILAND	DENV2	01175	96
DENV2/THAILAND/1996/01309/96	1996-01-01	THAILAND	DENV2	01309	96
DENV2/THAILAND/1995/00233/95	1995-01-01	THAILAND	DENV2	00233	95
DENV2/THAILAND/1995/00234/95	1995-01-01	THAILAND	DENV2	00234	95
DENV2/THAILAND/1995/00775/95	1995-01-01	THAILAND	DENV2	00775	95
DENV2/THAILAND/1994/01458/94	1994-01-01	THAILAND	DENV2	01458	94
DENV2/THAILAND/1995/00777/95	1995-01-01	THAILAND	DENV2	00777	95
DENV2/THAILAND/1995/00991/95	1995-01-01	THAILAND	DENV2	00991	95
DENV2/THAILAND/1995/01088/95	1995-01-01	THAILAND	DENV2	01088	95
DENV2/THAILAND/1995/01241/95	1995-01-01	THAILAND	DENV2	01241	95
DENV2/THAILAND/1996/02126/96	1996-01-01	THAILAND	DENV2	02126	96
DENV2/THAILAND/1997/03066/97	1997-01-01	THAILAND	DENV2	03066	97
DENV2/THAILAND/1998/01199/98	1998-01-01	THAILAND	DENV2	01199	98
DENV2/THAILAND/1997/02206/97	1997-01-01	THAILAND	DENV2	02206	97
DENV2/THAILAND/1996/01940/96	1996-01-01	THAILAND	DENV2	01940	96
DENV2/THAILAND/1994/00937/94	1994-01-01	THAILAND	DENV2	00937	94
DENV2/THAILAND/1994/01429/94	1994-01-01	THAILAND	DENV2	01429	94
DENV2/THAILAND/1996/02119/96	1996-01-01	THAILAND	DENV2	02119	96
DENV2/THAILAND/1996/01163/96	1996-01-01	THAILAND	DENV2	01163	96
DENV2/THAILAND/1999/00185/99	1999-01-01	THAILAND	DENV2	00185	99
DENV2/THAILAND/2000/06109/00	2000-01-01	THAILAND	DENV2	06109	00
DENV2/THAILAND/1997/05925/97	1997-01-01	THAILAND	DENV2	05925	97
DENV2/THAILAND/1997/05493/97	1997-01-01	THAILAND	DENV2	05493	97
DENV2/THAILAND/1994/01430/94	1994-01-01	THAILAND	DENV2	01430	94
DENV2/THAILAND/1994/01497/94	1994-01-01	THAILAND	DENV2	01497	94
DENV2/THAILAND/1996/00043/96	1996-01-01	THAILAND	DENV2	00043	96
DENV2/THAILAND/1997/00084/97	1997-01-01	THAILAND	DENV2	00084	97
DENV2/THAILAND/1997/03060/97	1997-01-01	THAILAND	DENV2	03060	97
DENV2/THAILAND/1995/00298/95	1995-01-01	THAILAND	DENV2	00298	95
DENV2/THAILAND/1995/00589/95	1995-01-01	THAILAND	DENV2	00589	95
DENV2/THAILAND/1995/01261/95	1995-01-01	THAILAND	DENV2	01261	95
DENV2/THAILAND/1995/01656/95	1995-01-01	THAILAND	DENV2	01656	95
DENV2/THAILAND/1996/01182/96	1996-01-01	THAILAND	DENV2	01182	96
DENV2/THAILAND/1996/02118/96	1996-01-01	THAILAND	DENV2	02118	96
DENV2/THAILAND/1998/04726/98	1998-01-01	THAILAND	DENV2	04726	98
DENV2/THAILAND/1994/00637/94	1994-01-01	THAILAND	DENV2	00637	94
DENV2/THAILAND/1994/00921/94	1994-01-01	THAILAND	DENV2	00921	94
DENV2/THAILAND/1994/01034/94	1994-01-01	THAILAND	DENV2	01034	94
DENV2/THAILAND/1998/00295/98	1998-01-01	THAILAND	DENV2	00295	98
DENV2/THAILAND/1997/07854/97	1997-01-01	THAILAND	DENV2	07854	97
DENV2/THAILAND/2000/00342/00	2000-01-01	THAILAND	DENV2	00342	00
DENV2/THAILAND/1999/00364/99	1999-01-01	THAILAND	DENV2	00364	99
DENV2/THAILAND/1999/05342/99	1999-01-01	THAILAND	DENV2	05342	99
DENV2/THAILAND/1999/05512/99	1999-01-01	THAILAND	DENV2	05512	99
DENV2/THAILAND/1999/03657/99	1999-01-01	THAILAND	DENV2	03657	99
DENV2/THAILAND/1999/04373/99	1999-01-01	THAILAND	DENV2	04373	99
DENV2/THAILAND/2000/02164/00	2000-01-01	THAILAND	DENV2	02164	00
DENV2/THAILAND/1999/04031/99	1999-01-01	THAILAND	DENV2	04031	99
DENV2/THAILAND/2002/01005/02	2002-01-01	THAILAND	DENV2	01005	02
DENV2/THAILAND/2001/04089/01	2001-01-01	THAILAND	DENV2	04089	01
DENV2/THAILAND/1994/00662/94	1994-01-01	THAILAND	DENV2	00662	94
DENV2/THAILAND/1994/00706/94	1994-01-01	THAILAND	DENV2	00706	94
DENV2/THAILAND/1994/00849/94	1994-01-01	THAILAND	DENV2	00849	94
DENV2/THAILAND/1995/00976/95	1995-01-01	THAILAND	DENV2	00976	95
DENV2/THAILAND/1997/07130/97	1997-01-01	THAILAND	DENV2	07130	97
DENV2/THAILAND/1998/01718/98	1998-01-01	THAILAND	DENV2	01718	98
DENV2/THAILAND/1998/03042/98	1998-01-01	THAILAND	DENV2	03042	98
DENV2/THAILAND/1995/01001/95	1995-01-01	THAILAND	DENV2	01001	95
DENV2/THAILAND/1995/01082/95	1995-01-01	THAILAND	DENV2	01082	95
DENV2/THAILAND/2000/01667/00	2000-01-01	THAILAND	DENV2	01667	00
DENV2/THAILAND/2000/02247/00	2000-01-01	THAILAND	DENV2	02247	00
DENV2/THAILAND/1999/04790/99	1999-01-01	THAILAND	DENV2	04790	99
DENV2/THAILAND/2001/04834/01	2001-01-01	THAILAND	DENV2	04834	01
DENV2/THAILAND/2001/03876/01	2001-01-01	THAILAND	DENV2	03876	01
DENV2/THAILAND/1999/03684/99	1999-01-01	THAILAND	DENV2	03684	99
DENV2/THAILAND/1998/01787/98	1998-01-01	THAILAND	DENV2	01787	98
DENV2/THAILAND/1995/01800/95	1995-01-01	THAILAND	DENV2	01800	95
DENV2/THAILAND/1997/07161/97	1997-01-01	THAILAND	DENV2	07161	97
DENV2/THAILAND/1994/00523/94	1994-01-01	THAILAND	DENV2	00523	94
DENV2/THAILAND/1995/01619/95	1995-01-01	THAILAND	DENV2	01619	95
DENV2/THAILAND/1994/00489/94	1994-01-01	THAILAND	DENV2	00489	94
DENV2/THAILAND/1997/00774/97	1997-01-01	THAILAND	DENV2	00774	97
DENV2/THAILAND/1996/00974/96	1996-01-01	THAILAND	DENV2	00974	96
DENV2/THAILAND/1996/00996/96	1996-01-01	THAILAND	DENV2	00996	96
DENV2/THAILAND/1996/02136/96	1996-01-01	THAILAND	DENV2	02136	96
DENV2/THAILAND/1998/01344/98	1998-01-01	THAILAND	DENV2	01344	98
DENV2/THAILAND/1995/00033/95	1995-01-01	THAILAND	DENV2	00033	95
DENV2/THAILAND/1994/01414/94	1994-01-01	THAILAND	DENV2	01414	94
DENV2/THAILAND/1994/00327/94	1994-01-01	THAILAND	DENV2	00327	94
DENV2/THAILAND/1995/00656/95	1995-01-01	THAILAND	DENV2	00656	95
DENV2/THAILAND/1995/01281/95	1995-01-01	THAILAND	DENV2	01281	95
DENV2/THAILAND/1994/00126/94	1994-01-01	THAILAND	DENV2	00126	94
DENV2/THAILAND/1994/00997/94	1994-01-01	THAILAND	DENV2	00997	94
DENV2/THAILAND/1997/00809/97	1997-01-01	THAILAND	DENV2	00809	97
DENV2/THAILAND/2005/00420/05	2005-01-01	THAILAND	DENV2	00420	05
DENV2/THAILAND/2004/00630/04	2004-01-01	THAILAND	DENV2	00630	04
DENV2/THAILAND/2004/00560/04	2004-01-01	THAILAND	DENV2	00560	04
DENV2/THAILAND/2004/00617/04	2004-01-01	THAILAND	DENV2	00617	04
DENV2/THAILAND/2004/01462/04	2004-01-01	THAILAND	DENV2	01462	04
DENV2/THAILAND/2004/01224/04	2004-01-01	THAILAND	DENV2	01224	04
DENV2/THAILAND/2005/00953/05	2005-01-01	THAILAND	DENV2	00953	05
DENV2/THAILAND/2005/01574/05	2005-01-01	THAILAND	DENV2	01574	05
DENV2/THAILAND/2014/00740/14	2014-01-01	THAILAND	DENV2	00740	14
DENV2/THAILAND/2006/00647/06	2006-01-01	THAILAND	DENV2	00647	06
DENV2/THAILAND/2007/00408/07	2007-01-01	THAILAND	DENV2	00408	07
DENV2/INDIA/1974/POONA-742295	1974-01-01	INDIA	DENV2	POONA-742295	.
DENV2/THAILAND/2007/02039/07	2007-01-01	THAILAND	DENV2	02039	07
DENV2/VIETNAM/2006/32-135	2006-01-01	VIETNAM	DENV2	32-135	.
DENV2/THAILAND/1988/05470/88	1988-01-01	THAILAND	DENV2	05470	88
DENV2/VIETNAM/2003/AC21	2003-01-01	VIETNAM	DENV2	AC21	.
DENV2/CAMBODIA/2003/FJ639703	2003-01-01	CAMBODIA	DENV2	FJ639703	.
DENV2/BRAZIL/2004/BR-161	2004-01-01	BRAZIL	DENV2	BR-161	.
DENV2/NICARAGUA/2005/BID-V533	2005-01-01	NICARAGUA	DENV2	BID-V533	.
DENV2/NICARAGUA/2006/BID-V571	2006-01-01	NICARAGUA	DENV2	BID-V571	.
DENV2/GUYANA/2000/CAREC-00-08221	2000-01-01	GUYANA	DENV2	CAREC-00-08221	.
DENV2/PERU/1996/IQT2913	1996-01-01	PERU	DENV2	IQT2913	.
DENV2/TONGA/1974/TONGA-74	1974-01-01	TONGA	DENV2	TONGA-74	.
DENV2/MALAYSIA/2008/DKD-811	2008-01-01	MALAYSIA	DENV2	DKD-811	.
DENV2/SENEGAL/1970/SENDAK-HD-10674	1970-01-01	SENEGAL	DENV2	SENDAK-HD-10674	.
