strain	date	region	country	division
hDenV1/Colombia/un-OUCRU-519/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-508/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-134/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-135/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-136/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-353/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-522/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-332/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-348/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-356/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-509/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-510/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-511/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-512/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-513/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-525/2011	2011	South America	Colombia	
hDenV1/Colombia/un-OUCRU-131/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-133/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-338/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-340/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-341/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-342/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-333/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-360/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-358/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-132/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-506/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-526/2013	2013	South America	Colombia	
hDenV1/Colombia/un-OUCRU-507/2012	2012	South America	Colombia	
hDenV1/Colombia/RIS-INS-476947/2016	2016-04-26	South America	Colombia	Risaralda
hDenV1/Colombia/MET-INS-424735/2013	2013-06-18	South America	Colombia	Meta
hDenV1/Colombia/CAU-INS-483718/2016	2016-06-24	South America	Colombia	Cauca
hDenV1/Colombia/un-INS-484940/2016	2016-07-07	South America	Colombia	
hDenV1/Colombia/un-INS-484930/2016	2016-07-19	South America	Colombia	
hDenV1/Colombia/un-INS-484942/2016	2016-07-14	South America	Colombia	
hDenV1/Colombia/un-INS-484948/2016	2016-07-12	South America	Colombia	
hDenV1/Colombia/ANT-INS-485061/2016	2016-08-27	South America	Colombia	Antioquia
hDenV1/Colombia/un-INS-424233/2013	2013-06-01	South America	Colombia	
hDenV1/Colombia/CUN-INS-450339/2015	2015-10-09	South America	Colombia	Cundinamarca
hDenV1/Colombia/un-Yale-DH141/2004	2004-01-01	South America	Colombia	
hDenV1/Colombia/VAC-LSPVAC-2300876/2023	2023-02-09	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2306001/2023	2023-08-21	South America	Colombia	Valle del Cauca
hDenV1/Colombia/un-BNITM-363/2018	2018-07-01	South America	Colombia	
hDenV1/Colombia/VAC-LSPVAC-2400035/2024	2023-12-30	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2400054/2024	2023-12-29	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2400146/2024	2023-12-29	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2400227/2024	2023-12-23	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2400262/2024	2024-01-02	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2400298/2024	2023-12-25	South America	Colombia	Valle del Cauca
