strain	country	genotype	accession	extra
2001.482	Thailand	2V	FJ687437	.
2001.485	Thailand	2V	FJ744722	.
2001.488	BKK	2V	03876/01	.
2001.488_2	Thailand	2V	FJ687438	.
2001.496	KPP	2V	31767/01	.
2001.499	BKK	2V	03921/01	.
2001.5	Cambodia	2IIIr	FJ639697	.
2001.5_2	Vietnam	2IIIr	FM210225	.
2001.5_3	Vietnam	2IIIr	FM210238	.
2001.504	BKK	2V	03993/01	.
2001.515	BKK	2V	04089/01	.
2001.518	Thailand	2V	FJ639831	.
2001.529	BKK	2V	04221/01	.
2001.529_2	BKK	2V	04225/01	.
2001.545	Thailand	2V	FJ744711	.
2001.545_2	Thailand	2V	FJ744723	.
2001.548	Thailand	2V	FJ744724	.
2001.559	BKK	2V	04451/01	.
2001.559_2	BKK	2V	04493/01	.
2001.559_3	Thailand	2V	FJ687439	.
2001.559_4	Thailand	2V	FJ744716	.
2001.581	Thailand	2V	FJ687440	.
2001.589	BKK	2V	04759/01	.
2001.6	BKK	2V	04834/01	.
2001.6_2	BKK	2V	04839/01	.
2001.6_3	Thailand	2V	FJ810409	.
2001.605	BKK	2V	04897/01	.
2001.608	Thailand	2V	FJ639828	.
2001.616	BKK	2V	04957/01	.
2001.625	BKK	2V	05012/01	.
2001.625_2	BKK	2V	05015/01	.
2001.633	BKK	2V	05042/01	.
2001.647	Thailand	2V	FJ744712	.
2001.658	Thailand	2V	FJ744717	.
2001.668	BKK	2V	05353/01	.
2001.682	Thailand	2V	FJ810411	.
2001.718	BKK	2V	05695/01	.
2001.74	BKK	2V	05819/01	.
2001.74_2	Thailand	2V	FJ744725	.
2001.753	BKK	2V	05885/01	.
2001.759	Thailand	2V	FJ810412	.
2001.797	BKK	2V	06096/01	.
2001.838	BKK	2V	06281/01	.
2001.847	Thailand	2V	FJ687441	.
2001.847_2	Thailand	2V	FJ687442	.
2001.847_3	Thailand	2V	FJ744718	.
2001.849	Thailand	2V	FJ687443	.
2001.855	BKK	2V	06383/01	.
2001.899	KPP	2V	34101/01	.
2001.907	BKK	2V	06627/01	.
2001.945	BKK	2V	06793/01	.
2001.953	BKK	2V	06834/01	.
2002.019	BKK	2V	00035/02	.
2002.027	BKK	2V	00060/02	.
2002.036	BKK	2V	00074/02	.
2002.049	BKK	2V	00118/02	.
2002.079	BKK	2V	00444/02	.
2002.118	BKK	2V	00569/02	.
2002.121	BKK	2V	00590/02	.
2002.159	BKK	2V	00675/02	.
2002.181	BKK	2V	00750/02	.
2002.192	BKK	2V	00786/02	.
2002.219	BKK	2V	01005/02	.
2002.222	BKK	2V	01009/02	.
2002.23	BKK	2V	01024/02	.
2002.233	BKK	2V	01050/02	.
2002.277	BKK	2V	01209/02	.
2002.296	KPP	2V	30257/02	.
2002.307	KPP	2V	30276/02	.
2002.318	KPP	2V	30294/02	.
2002.332	BKK	2V	01314/02	.
2002.34	BKK	2V	01318/02	.
2002.351	KPP	2V	30362/02	.
2002.386	BKK	2V	01468/02	.
2002.403	KPP	2V	30447/02	.
2002.449	BKK	2V	01636/02	.
2002.452	KPP	2V	30599/02	.
2002.466	KPP	2V	30639/02	.
2002.471	KPP	2V	30683/02	.
2002.479	BKK	2V	01770/02	.
2002.482	KPP	2V	30730/02	.
2002.5	Cambodia	2IIIr	FJ639698	.
2002.5_2	Vietnam	2IIIr	FM210227	.
2002.512	BKK	2V	01899/02	.
2002.559	BKK	2V	02094/02	.
2002.649	BKK	2V	02321/02	.
2002.71	BKK	2V	02461/02	.
2002.718	BKK	2V	02484/02	.
2002.781	KPP	2V	31745/02	.
2002.803	KPP	2V	31774/02	.
2002.816	KPP	2V	31791/02	.
2002.825	BKK	2V	02667/02	.
2002.83	BKK	2V	02678/02	.
2002.855	KPP	2V	31838/02	.
2002.923	BKK	2V	02933/02	.
2002.923_2	BKK	2V	02934/02	.
2002.926	BKK	2V	02935/02	.
2002.937	BKK	2V	02971/02	.
2002.975	BKK	2V	03090/02	.
2002.984	BKK	2V	03130/02	.
2002.992	BKK	2V	03165/02	.
2003.019	BKK	2V	00035/03	.
2003.025	BKK	2V	00050/03	.
2003.03	BKK	2V	00070/03	.
2003.055	BKK	2V	00139/03	.
2003.079	BKK	2V	00207/03	.
2003.088	BKK	2V	00227/03	.
2003.101	BKK	2V	00270/03	.
2003.173	BKK	2V	00449/03	.
2003.192	BKK	2V	00499/03	.
2003.216	KPP	2V	30131/03	.
2003.247	BKK	2V	00605/03	.
2003.362	BKK	2V	00977/03	.
2003.427	KPP	2V	30559/03	.
2003.427_2	KPP	2V	30573/03	.
2003.43	KPP	2V	30565/03	.
2003.43_2	KPP	2V	30567/03	.
2003.438	BKK	2V	01082/03	.
2003.438_2	KPP	2V	30571/03	.
2003.441	KPP	2V	30580/03	.
