taxon,date
hDenV1_Colombia_un-OUCRU-508_2013_EPI_ISL_17610605_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000096_2013_EPI_ISL_17439412_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000068_2013_EPI_ISL_17439450_2013,2013.5000
hDenV1_Colombia_un-OUCRU-10122_2013_EPI_ISL_17410866_2013,2013.5000
hDenV1_Colombia_un-OUCRU-360_2013_EPI_ISL_17610691_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000003_2013_EPI_ISL_17439268_2013,2013.5000
hDenV1_Colombia_un-OUCRU-0000076_2013_EPI_ISL_17439458_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101221_2013_EPI_ISL_17410884_2013,2013.5000
hDenV1_Colombia_un-OUCRU-131_2013_EPI_ISL_17610677_2013,2013.5000
hDenV1_Colombia_SAN-UIS-0000034_2014_EPI_ISL_17434692_2014,2014.5000
hDenV1_Colombia_SAN-UIS-0000048_2014_EPI_ISL_17434706_2014,2014.5000
hDenV1_Colombia_SAN-UIS-0000007_2015_EPI_ISL_17434718_2015,2015.5000
hDenV1_Colombia_SAN-UR-F15030291_2014_EPI_ISL_715228_2014-06,2014.4578
hDenV1_Colombia_NSA-UIDS-556_2015_EPI_ISL_715734_2015-04,2015.2911
hDenV1_Colombia_SAN-UIS-0000016_2015_EPI_ISL_17434727_2015,2015.5000
hDenV1_Colombia_SAN-UIS-0000017_2015_EPI_ISL_17434728_2015,2015.5000
hDenV1_Colombia_SAN-UIS-0000055_2015_EPI_ISL_17434697_2015,2015.5000
hDenV1_Colombia_SAN-UIS-0000008_2014_EPI_ISL_17434719_2014,2014.5000
hDenV1_Colombia_SAN-UIS-0000030_2010_EPI_ISL_17434721_2010,2010.5000
hDenV1_Colombia_SAN-UIS-00003_2008_EPI_ISL_17572893_2008,2008.5000
hDenV1_Colombia_SAN-UIS-00002_2008_EPI_ISL_17572896_2008,2008.5000
hDenV1_Colombia_SAN-UIS-00001_2008_EPI_ISL_17572897_2008,2008.5000
hDenV1_Colombia_SAN-UIS-0000012_2010_EPI_ISL_17434723_2010,2010.5000
hDenV1_Colombia_SAN-UIS-0000056_2013_EPI_ISL_17434707_2013,2013.5000
hDenV1_Colombia_SAN-UIS-0000013_2010_EPI_ISL_17434724_2010,2010.5000
hDenV1_Colombia_SAN-UIS-0000059_2016_EPI_ISL_17434711_2016,2016.5000
hDenV1_Colombia_NSA-UIDS-559_2015_EPI_ISL_715733_2015-12,2015.9578
