strain	date	region	country	division	genotype	lineage
hDenV3/Colombia/un-Yale-DN02462/2023	2023-12-16	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02374/2023	2023-09-09	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02477/2024	2024-01-03	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02539/2024	2024-02-09	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02586/2024	2024-03-05	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02564/2024	2024-02-23	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02514/2024	2024-01-29	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02381/2023	2023-09-14	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02502/2024	2024-01-16	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02581/2024	2024-03-04	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02583/2024	2024-03-05	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02464/2023	2023-12-18	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02344/2023	2023-08-05	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02561/2024	2024-02-19	South America	Colombia		III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2405862-VI/2024	2024-04-19	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2406948-VI/2024	2024-05-13	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2406989-VI/2024	2024-04-29	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2407187-VI/2024	2024-05-10	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2407349-VI/2024	2024-05-29	South America	Colombia	Valle del Cauca	III	3III_C.1
